IPCC AR4 multi-model average of 
detrended globally averaged TAS anomalies relative to 1980-1999 
Generated by hteng@ucar.edu
Original file name: tas.ave.dat
year     20C3M    commit      B1      A1B       A2
1986    -0.055  -999.999  -999.999  -999.999  -999.999
1987    -0.018  -999.999  -999.999  -999.999  -999.999
1988    -0.012  -999.999  -999.999  -999.999  -999.999
1989     0.040  -999.999  -999.999  -999.999  -999.999
1990     0.102  -999.999  -999.999  -999.999  -999.999
1991     0.022  -999.999  -999.999  -999.999  -999.999
1992    -0.134  -999.999  -999.999  -999.999  -999.999
1993    -0.021  -999.999  -999.999  -999.999  -999.999
1994     0.031  -999.999  -999.999  -999.999  -999.999
1995     0.064  -999.999  -999.999  -999.999  -999.999
1996     0.119  -999.999  -999.999  -999.999  -999.999
1997     0.137  -999.999  -999.999  -999.999  -999.999
1998     0.158  -999.999  -999.999  -999.999  -999.999
1999     0.194  -999.999  -999.999  -999.999  -999.999
2000  -999.999     0.211     0.235     0.240     0.256
2001  -999.999     0.241     0.229     0.234     0.266
2002  -999.999     0.255     0.254     0.272     0.262
2003  -999.999     0.236     0.292     0.316     0.257
2004  -999.999     0.256     0.333     0.324     0.305
2005  -999.999     0.265     0.320     0.339     0.349
2006  -999.999     0.295     0.323     0.362     0.372
2007  -999.999     0.309     0.363     0.401     0.373
2008  -999.999     0.345     0.371     0.435     0.387
2009  -999.999     0.346     0.359     0.414     0.376
2010  -999.999     0.330     0.413     0.408     0.423
2011  -999.999     0.344     0.500     0.439     0.456
2012  -999.999     0.328     0.489     0.516     0.461
2013  -999.999     0.297     0.470     0.505     0.460
2014  -999.999     0.335     0.538     0.519     0.492
2015  -999.999     0.349     0.548     0.546     0.526
2016  -999.999     0.303     0.576     0.562     0.579
2017  -999.999     0.306     0.595     0.590     0.555
2018  -999.999     0.358     0.627     0.605     0.553
2019  -999.999     0.388     0.626     0.616     0.606
2020  -999.999     0.381     0.657     0.684     0.615
2021  -999.999     0.352     0.709     0.683     0.625
2022  -999.999     0.372     0.691     0.720     0.658
2023  -999.999     0.355     0.688     0.730     0.700
2024  -999.999     0.369     0.737     0.752     0.705
2025  -999.999     0.394     0.717     0.758     0.748
2026  -999.999     0.386     0.717     0.801     0.725
2027  -999.999     0.403     0.757     0.860     0.718
2028  -999.999     0.368     0.759     0.898     0.763
2029  -999.999     0.377     0.787     0.920     0.777
2030  -999.999     0.405     0.822     0.944     0.809
2031  -999.999     0.411     0.837     0.927     0.834
2032  -999.999     0.426     0.853     1.018     0.893
2033  -999.999     0.421     0.862     1.038     0.939
2034  -999.999     0.399     0.881     1.033     0.953
2035  -999.999     0.394     0.879     1.090     0.954
2036  -999.999     0.406     0.878     1.092     1.022
2037  -999.999     0.398     0.910     1.166     1.018
2038  -999.999     0.452     0.952     1.209     1.045
2039  -999.999     0.439     0.960     1.266     1.065
2040  -999.999     0.420     0.980     1.266     1.097
2041  -999.999     0.464     1.004     1.290     1.164
2042  -999.999     0.442     1.015     1.308     1.186
2043  -999.999     0.444     1.050     1.348     1.202
2044  -999.999     0.471     1.067     1.374     1.231
2045  -999.999     0.421     1.055     1.411     1.272
2046  -999.999     0.413     1.085     1.461     1.286
2047  -999.999     0.426     1.114     1.489     1.305
2048  -999.999     0.442     1.132     1.532     1.368
2049  -999.999     0.425     1.136     1.546     1.420
2050  -999.999     0.459     1.138     1.565     1.398
2051  -999.999     0.473     1.169     1.573     1.438
2052  -999.999     0.417     1.233     1.600     1.516
2053  -999.999     0.396     1.242     1.694     1.577
2054  -999.999     0.416     1.231     1.709     1.604
2055  -999.999     0.474     1.245     1.711     1.608
2056  -999.999     0.483     1.273     1.734     1.648
2057  -999.999     0.478     1.290     1.777     1.702
2058  -999.999     0.459     1.358     1.801     1.707
2059  -999.999     0.480     1.386     1.843     1.768
2060  -999.999     0.468     1.365     1.848     1.827
2061  -999.999     0.478     1.388     1.907     1.854
2062  -999.999     0.471     1.403     1.937     1.893
2063  -999.999     0.495     1.437     1.972     1.947
2064  -999.999     0.501     1.443     2.009     1.940
2065  -999.999     0.516     1.490     2.018     1.986
2066  -999.999     0.548     1.486     2.058     2.066
2067  -999.999     0.494     1.473     2.092     2.097
2068  -999.999     0.449     1.532     2.133     2.137
2069  -999.999     0.484     1.532     2.141     2.183
2070  -999.999     0.508     1.543     2.163     2.249
2071  -999.999     0.546     1.597     2.219     2.256
2072  -999.999     0.482     1.597     2.242     2.364
2073  -999.999     0.470     1.547     2.247     2.364
2074  -999.999     0.515     1.585     2.255     2.392
2075  -999.999     0.505     1.629     2.314     2.484
2076  -999.999     0.517     1.614     2.346     2.537
2077  -999.999     0.511     1.660     2.367     2.529
2078  -999.999     0.496     1.649     2.359     2.591
2079  -999.999     0.487     1.648     2.405     2.665
2080  -999.999     0.535     1.680     2.435     2.676
2081  -999.999     0.536     1.696     2.474     2.747
2082  -999.999     0.483     1.716     2.449     2.815
2083  -999.999     0.517     1.714     2.494     2.854
2084  -999.999     0.573     1.716     2.529     2.921
2085  -999.999     0.544     1.722     2.570     2.944
2086  -999.999     0.526     1.723     2.539     2.938
2087  -999.999     0.588     1.763     2.588     2.985
2088  -999.999     0.533     1.736     2.604     3.047
2089  -999.999     0.532     1.758     2.629     3.092
2090  -999.999     0.577     1.803     2.673     3.137
2091  -999.999     0.594     1.798     2.656     3.149
2092  -999.999     0.548     1.765     2.697     3.234
2093  -999.999     0.544     1.774     2.747     3.249
2094  -999.999     0.545     1.813     2.739     3.311
2095  -999.999     0.541     1.832     2.725     3.351
2096  -999.999     0.589     1.825     2.751     3.418
2097  -999.999     0.596     1.827     2.787     3.443
2098  -999.999     0.520     1.851     2.808     3.510
2099  -999.999     0.566     1.837     2.805     3.565
2100  -999.999  -999.999     1.758     2.786  -999.999
2101  -999.999  -999.999     1.782     2.803  -999.999
2102  -999.999  -999.999     1.762     2.813  -999.999
2103  -999.999  -999.999     1.825     2.816  -999.999
2104  -999.999  -999.999     1.791     2.824  -999.999
2105  -999.999  -999.999     1.766     2.878  -999.999
2106  -999.999  -999.999     1.835     2.846  -999.999
2107  -999.999  -999.999     1.826     2.868  -999.999
2108  -999.999  -999.999     1.803     2.920  -999.999
2109  -999.999  -999.999     1.882     2.896  -999.999
2110  -999.999  -999.999     1.861     2.862  -999.999
2111  -999.999  -999.999     1.864     2.888  -999.999
2112  -999.999  -999.999     1.843     2.901  -999.999
2113  -999.999  -999.999     1.814     2.905  -999.999
2114  -999.999  -999.999     1.852     2.950  -999.999
2115  -999.999  -999.999     1.871     2.971  -999.999
2116  -999.999  -999.999     1.903     2.923  -999.999
2117  -999.999  -999.999     1.891     2.937  -999.999
2118  -999.999  -999.999     1.888     2.963  -999.999
2119  -999.999  -999.999     1.867     2.996  -999.999
2120  -999.999  -999.999     1.817     3.016  -999.999
2121  -999.999  -999.999     1.856     3.022  -999.999
2122  -999.999  -999.999     1.856     2.990  -999.999
2123  -999.999  -999.999     1.872     3.005  -999.999
2124  -999.999  -999.999     1.881     3.000  -999.999
2125  -999.999  -999.999     1.853     2.991  -999.999
2126  -999.999  -999.999     1.871     3.000  -999.999
2127  -999.999  -999.999     1.888     3.009  -999.999
2128  -999.999  -999.999     1.893     2.996  -999.999
2129  -999.999  -999.999     1.864     3.070  -999.999
2130  -999.999  -999.999     1.860     3.038  -999.999
2131  -999.999  -999.999     1.891     3.021  -999.999
2132  -999.999  -999.999     1.900     3.101  -999.999
2133  -999.999  -999.999     1.879     3.044  -999.999
2134  -999.999  -999.999     1.862     3.038  -999.999
2135  -999.999  -999.999     1.868     3.063  -999.999
2136  -999.999  -999.999     1.903     3.072  -999.999
2137  -999.999  -999.999     1.946     3.076  -999.999
2138  -999.999  -999.999     1.915     3.041  -999.999
2139  -999.999  -999.999     1.917     3.053  -999.999
2140  -999.999  -999.999     1.920     3.084  -999.999
2141  -999.999  -999.999     1.914     3.093  -999.999
2142  -999.999  -999.999     1.928     3.143  -999.999
2143  -999.999  -999.999     1.971     3.141  -999.999
2144  -999.999  -999.999     1.919     3.160  -999.999
2145  -999.999  -999.999     1.909     3.136  -999.999
2146  -999.999  -999.999     1.921     3.193  -999.999
2147  -999.999  -999.999     1.939     3.206  -999.999
2148  -999.999  -999.999     1.901     3.134  -999.999
2149  -999.999  -999.999     1.896     3.137  -999.999
2150  -999.999  -999.999     1.914     3.200  -999.999
2151  -999.999  -999.999     1.939     3.160  -999.999
2152  -999.999  -999.999     1.953     3.072  -999.999
2153  -999.999  -999.999     1.993     3.116  -999.999
2154  -999.999  -999.999     1.990     3.208  -999.999
2155  -999.999  -999.999     1.942     3.156  -999.999
2156  -999.999  -999.999     1.933     3.174  -999.999
2157  -999.999  -999.999     1.953     3.196  -999.999
2158  -999.999  -999.999     1.992     3.159  -999.999
2159  -999.999  -999.999     1.975     3.183  -999.999
2160  -999.999  -999.999     1.941     3.215  -999.999
2161  -999.999  -999.999     1.946     3.203  -999.999
2162  -999.999  -999.999     1.999     3.220  -999.999
2163  -999.999  -999.999     2.001     3.227  -999.999
2164  -999.999  -999.999     1.975     3.233  -999.999
2165  -999.999  -999.999     2.014     3.197  -999.999
2166  -999.999  -999.999     2.028     3.218  -999.999
2167  -999.999  -999.999     2.056     3.253  -999.999
2168  -999.999  -999.999     2.068     3.260  -999.999
2169  -999.999  -999.999     2.011     3.225  -999.999
2170  -999.999  -999.999     2.016     3.230  -999.999
2171  -999.999  -999.999     1.980     3.285  -999.999
2172  -999.999  -999.999     1.994     3.245  -999.999
2173  -999.999  -999.999     2.003     3.240  -999.999
2174  -999.999  -999.999     2.033     3.240  -999.999
2175  -999.999  -999.999     2.087     3.230  -999.999
2176  -999.999  -999.999     2.032     3.202  -999.999
2177  -999.999  -999.999     2.065     3.241  -999.999
2178  -999.999  -999.999     2.038     3.250  -999.999
2179  -999.999  -999.999     2.019     3.237  -999.999
2180  -999.999  -999.999     2.084     3.276  -999.999
2181  -999.999  -999.999     2.128     3.298  -999.999
2182  -999.999  -999.999     2.059     3.280  -999.999
2183  -999.999  -999.999     2.071     3.262  -999.999
2184  -999.999  -999.999     2.096     3.242  -999.999
2185  -999.999  -999.999     2.079     3.243  -999.999
2186  -999.999  -999.999     2.069     3.262  -999.999
2187  -999.999  -999.999     2.048     3.336  -999.999
2188  -999.999  -999.999     2.061     3.335  -999.999
2189  -999.999  -999.999     2.120     3.323  -999.999
2190  -999.999  -999.999     2.074     3.301  -999.999
2191  -999.999  -999.999     2.086     3.300  -999.999
2192  -999.999  -999.999     2.108     3.322  -999.999
2193  -999.999  -999.999     2.062     3.315  -999.999
2194  -999.999  -999.999     2.037     3.336  -999.999
2195  -999.999  -999.999     2.065     3.326  -999.999
2196  -999.999  -999.999     2.115     3.348  -999.999
2197  -999.999  -999.999     2.071     3.344  -999.999
2198  -999.999  -999.999     2.050     3.321  -999.999
2199  -999.999  -999.999     2.085     3.341  -999.999
2200  -999.999  -999.999     1.994     3.229  -999.999
2201  -999.999  -999.999     2.022     3.236  -999.999
2202  -999.999  -999.999     2.001     3.203  -999.999
2203  -999.999  -999.999     2.036     3.251  -999.999
2204  -999.999  -999.999     2.017     3.305  -999.999
2205  -999.999  -999.999     1.951     3.292  -999.999
2206  -999.999  -999.999     2.002     3.239  -999.999
2207  -999.999  -999.999     2.032     3.303  -999.999
2208  -999.999  -999.999     2.056     3.284  -999.999
2209  -999.999  -999.999     2.029     3.294  -999.999
2210  -999.999  -999.999     2.054     3.308  -999.999
2211  -999.999  -999.999     2.063     3.327  -999.999
2212  -999.999  -999.999     2.048     3.302  -999.999
2213  -999.999  -999.999     2.022     3.333  -999.999
2214  -999.999  -999.999     2.009     3.355  -999.999
2215  -999.999  -999.999     2.070     3.330  -999.999
2216  -999.999  -999.999     2.103     3.305  -999.999
2217  -999.999  -999.999     2.071     3.387  -999.999
2218  -999.999  -999.999     2.081     3.349  -999.999
2219  -999.999  -999.999     2.085     3.219  -999.999
2220  -999.999  -999.999     2.051     3.310  -999.999
2221  -999.999  -999.999     2.093     3.395  -999.999
2222  -999.999  -999.999     2.119     3.309  -999.999
2223  -999.999  -999.999     2.062     3.347  -999.999
2224  -999.999  -999.999     2.112     3.377  -999.999
2225  -999.999  -999.999     2.115     3.325  -999.999
2226  -999.999  -999.999     2.082     3.337  -999.999
2227  -999.999  -999.999     2.101     3.374  -999.999
2228  -999.999  -999.999     2.008     3.410  -999.999
2229  -999.999  -999.999     2.112     3.374  -999.999
2230  -999.999  -999.999     2.140     3.333  -999.999
2231  -999.999  -999.999     2.077     3.405  -999.999
2232  -999.999  -999.999     2.104     3.426  -999.999
2233  -999.999  -999.999     2.145     3.401  -999.999
2234  -999.999  -999.999     2.094     3.395  -999.999
2235  -999.999  -999.999     2.072     3.355  -999.999
2236  -999.999  -999.999     2.165     3.404  -999.999
2237  -999.999  -999.999     2.128     3.356  -999.999
2238  -999.999  -999.999     2.101     3.374  -999.999
2239  -999.999  -999.999     2.090     3.407  -999.999
2240  -999.999  -999.999     2.092     3.408  -999.999
2241  -999.999  -999.999     2.113     3.410  -999.999
2242  -999.999  -999.999     2.090     3.457  -999.999
2243  -999.999  -999.999     2.073     3.421  -999.999
2244  -999.999  -999.999     2.115     3.424  -999.999
2245  -999.999  -999.999     2.146     3.446  -999.999
2246  -999.999  -999.999     2.065     3.429  -999.999
2247  -999.999  -999.999     2.149     3.438  -999.999
2248  -999.999  -999.999     2.177     3.466  -999.999
2249  -999.999  -999.999     2.081     3.470  -999.999
2250  -999.999  -999.999     2.110     3.442  -999.999
2251  -999.999  -999.999     2.130     3.430  -999.999
2252  -999.999  -999.999     2.126     3.448  -999.999
2253  -999.999  -999.999     2.108     3.413  -999.999
2254  -999.999  -999.999     2.149     3.453  -999.999
2255  -999.999  -999.999     2.178     3.499  -999.999
2256  -999.999  -999.999     2.121     3.435  -999.999
2257  -999.999  -999.999     2.108     3.391  -999.999
2258  -999.999  -999.999     2.170     3.407  -999.999
2259  -999.999  -999.999     2.123     3.457  -999.999
2260  -999.999  -999.999     2.088     3.486  -999.999
2261  -999.999  -999.999     2.096     3.482  -999.999
2262  -999.999  -999.999     2.106     3.473  -999.999
2263  -999.999  -999.999     2.110     3.413  -999.999
2264  -999.999  -999.999     2.152     3.488  -999.999
2265  -999.999  -999.999     2.171     3.486  -999.999
2266  -999.999  -999.999     2.121     3.463  -999.999
2267  -999.999  -999.999     2.122     3.460  -999.999
2268  -999.999  -999.999     2.224     3.478  -999.999
2269  -999.999  -999.999     2.178     3.465  -999.999
2270  -999.999  -999.999     2.172     3.519  -999.999
2271  -999.999  -999.999     2.178     3.509  -999.999
2272  -999.999  -999.999     2.124     3.468  -999.999
2273  -999.999  -999.999     2.186     3.450  -999.999
2274  -999.999  -999.999     2.203     3.465  -999.999
2275  -999.999  -999.999     2.162     3.479  -999.999
2276  -999.999  -999.999     2.125     3.491  -999.999
2277  -999.999  -999.999     2.183     3.533  -999.999
2278  -999.999  -999.999     2.214     3.512  -999.999
2279  -999.999  -999.999     2.153     3.456  -999.999
2280  -999.999  -999.999     2.175     3.484  -999.999
2281  -999.999  -999.999     2.163     3.439  -999.999
2282  -999.999  -999.999     2.120     3.466  -999.999
2283  -999.999  -999.999     2.121     3.478  -999.999
2284  -999.999  -999.999     2.134     3.509  -999.999
2285  -999.999  -999.999     2.165     3.541  -999.999
2286  -999.999  -999.999     2.141     3.522  -999.999
2287  -999.999  -999.999     2.120     3.512  -999.999
2288  -999.999  -999.999     2.167     3.566  -999.999
2289  -999.999  -999.999     2.168     3.489  -999.999
2290  -999.999  -999.999     2.192     3.539  -999.999
2291  -999.999  -999.999     2.175     3.613  -999.999
2292  -999.999  -999.999     2.143     3.566  -999.999
2293  -999.999  -999.999     2.163     3.533  -999.999
2294  -999.999  -999.999     2.205     3.555  -999.999
2295  -999.999  -999.999     2.228     3.542  -999.999
2296  -999.999  -999.999     2.180     3.458  -999.999
2297  -999.999  -999.999     2.173     3.544  -999.999
2298  -999.999  -999.999     2.249     3.578  -999.999
2299  -999.999  -999.999     2.229     3.551  -999.999
